Unnamed: 0,atletas.rodada_id,atletas.foto,atletas.status_id,atletas.pontos_num,atletas.variacao_num,atletas.media_num,atletas.slug,atletas.apelido,atletas.atleta_id,atletas.nome,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.jogos_num,atletas.clube_id,atletas.posicao_id,atletas.preco_num,atletas.minimo_para_valorizar,atletas.apelido_abreviado,posicao_nome,ranking_rodada,percentil_pontuacao,classificacao_desempenho,destaque_rodada
248,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,6,0,0,0,daniel-fuzato,Daniel Fuzato,95936,Daniel Cerântula Fuzato,VAS,False,0,267,1,3,,D. Fuzato,Goleiro,0,0.0,Não Jogou,False
249,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,6,0,0,0,lima,Lima,96340,Vinicius Moreira de Lima,FLU,False,0,266,4,6,,Lima,Meia,0,0.0,Não Jogou,False
250,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,6,0,0,0,charles,Charles,96342,Charles Rigon Mattos,COR,False,0,264,4,5,,Charles,Meia,0,0.0,Não Jogou,False
251,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,7,0,0,0,matheus-pereira,Matheus Pereira,96610,Matheus Fellipe Costa Pereira,CRU,False,0,283,4,19,,M. Pereira,Meia,0,0.0,Não Jogou,False
252,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,6,0,0,0,maxime-dominguez,Maxime Dominguez,96614,Maxime Dominguez,VAS,False,0,267,4,4,,M. Dominguez,Meia,0,0.0,Não Jogou,False
253,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,6,0,0,0,allan,Allan,96652,Allan Rodrigues de Souza,FLA,False,0,262,4,4,,Allan,Meia,0,0.0,Não Jogou,False
254,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,6,0,0,0,saravia,Saravia,96725,Renzo Saravia,CAM,False,0,282,2,5,,Saravia,Lateral,0,0.0,Não Jogou,False
255,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,6,0,0,0,camutanga,Camutanga,96793,Cleidson Andrade da Souza Silva,VIT,False,0,287,3,4,,Camutanga,Zagueiro,0,0.0,Não Jogou,False
256,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,6,0,0,0,carlinhos,Carlinhos,96831,Carlos Moisés de Lima,VIT,False,0,287,5,4,,Carlinhos,Atacante,0,0.0,Não Jogou,False
257,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,7,0,0,0,villasanti,Villasanti,97145,Mathías Adalberto Villasanti Rolón,GRE,False,0,284,4,14,,Villasanti,Meia,0,0.0,Não Jogou,False
258,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,6,0,0,0,dalbert,Dalbert,97173,Dalbert Henrique Chagas Estevão,SPT,False,0,292,2,3,,Dalbert,Lateral,0,0.0,Não Jogou,False
259,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,7,0,0,0,rogerio-ceni,Rogério Ceni,97341,Rogério Mücke Ceni,BAH,False,0,265,6,8,,R. Ceni,Técnico,0,0.0,Não Jogou,False
260,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,7,0,0,0,gustavo-mosquito,Gustavo Mosquito,97450,Gustavo Henric da Silva,VIT,False,0,287,5,5,,G. Mosquito,Atacante,0,0.0,Não Jogou,False
