Unnamed: 0,atletas.pontos_num,atletas.clube_id,atletas.posicao_id,atletas.media_num,atletas.entrou_em_campo,atletas.atleta_id,atletas.preco_num,atletas.foto,atletas.apelido_abreviado,atletas.status_id,atletas.slug,atletas.rodada_id,atletas.clube.id.full.name,atletas.variacao_num,atletas.nome,atletas.jogos_num,atletas.apelido,CA,DS,FC,FF,FS,G,I,A,FD,PS,FT,SG,V,CV,DE,DP,GS,PC,PP,GC,posicao_nome,ranking_rodada,percentil_pontuacao,classificacao_desempenho,destaque_rodada
125,4.5,283,4,4.6,True,84558,7.98,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,L. Romero,7,lucas-romero,22,CRU,0.27,Lucas Daniel Romero,20,Lucas Romero,7.0,44.0,22.0,5.0,31.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,Meia,116,65.21,Regular,False
126,1.9,275,4,3.21,True,84674,6.23,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,L. Evangelista,7,lucas-evangelista,22,PAL,0.27,Lucas Evangelista Santana de Oliveira,16,Lucas Evangelista,2.0,20.0,18.0,2.0,19.0,1.0,,1.0,4.0,,,,,,,,,,,,Meia,198,40.36,Regular,False
127,0.0,262,4,1.93,False,84735,7.1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Jorginho,6,jorginho,22,FLA,0.0,Jorge Luiz Frello Filho,8,Jorginho,3.0,13.0,12.0,1.0,1.0,,,,1.0,,,,,,,,,,,,Meia,0,0.0,Não Jogou,False
128,1.7,262,2,4.93,True,84816,7.85,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Varela,7,varela,22,FLA,-1.06,Guillermo Varela Olivera,16,Varela,,8.0,4.0,,6.0,,1.0,4.0,1.0,,,9.0,,,,,,1.0,,,Lateral,203,38.55,Regular,False
129,6.5,277,3,2.5,True,84847,5.57,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,L. Peres,7,luan-peres,22,SAN,0.85,Luan Peres Petroni,13,Luan Peres,4.0,11.0,17.0,,8.0,,,,1.0,,,4.0,,,,,,,,,Zagueiro,74,77.26,Bom,False
130,0.2,285,4,1.42,True,85034,4.5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,O. Romero,6,oscar-romero,22,INT,-0.21,Óscar David Romero Villamayor,9,Óscar Romero,1.0,2.0,2.0,4.0,6.0,,,1.0,1.0,,,,,,,,,1.0,,,Meia,272,18.22,Regular,False
131,3.3,264,5,5.95,True,85048,13.85,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,M. Depay,7,memphis-depay,22,COR,-0.62,Memphis Depay,14,Memphis Depay,4.0,7.0,11.0,10.0,20.0,4.0,1.0,3.0,11.0,,2.0,,,,,,,,1.0,,Atacante,152,54.52,Regular,False
132,0.0,356,1,4.4,False,85083,6.75,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,V. Silvestre,6,vinicius-silvestre,22,FOR,0.0,Vinicius Silvestre da Costa,2,Vinicius Silvestre,,,,,1.0,,,,,,,,,,11.0,,6.0,,,,Goleiro,0,0.0,Não Jogou,False
133,1.0,2305,4,2.89,True,85403,4.95,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Danielzinho,7,danielzinho,22,MIR,-0.02,Daniel de Oliveira Sertanejo,19,Danielzinho,3.0,16.0,22.0,7.0,35.0,,1.0,2.0,3.0,1.0,1.0,,,,,,,,,,Meia,234,29.22,Regular,False
134,0.0,265,1,-1.0,False,85425,6.45,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,J. Paulo,6,joao-paulo,22,BAH,0.0,João Paulo Silva Martins,0,João Paulo,2.0,,,,,,,,,,,,,,,,,,,,Goleiro,0,0.0,Não Jogou,False
